run_id,model,regime,family_set,family,seed,n_family,n_normal,n_test,positive_rate,precision,recall,f1,roc_auc,accuracy,balanced_accuracy,macro_f1,notes
phase7-recovery-ceiling,random_forest,target_frozen_test,native,injection,42,10094,25000,35094,0.287628,0.98093,0.998811,0.98979,0.999647,0.994073,0.995486,0.992807,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,random_forest,target_frozen_test,native,mitm,42,518,25000,25518,0.020299,0.719599,0.971042,0.826623,0.997384,0.991731,0.981601,0.911194,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,random_forest,target_frozen_test,native,password,42,10159,25000,35159,0.288945,0.981065,0.999606,0.990249,0.999763,0.994312,0.995883,0.993117,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,random_forest,target_frozen_test,native,ransomware,42,9963,25000,34963,0.284958,0.980676,0.998394,0.989456,0.999819,0.993936,0.995277,0.9926,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,random_forest,target_frozen_test,native,scanning,42,10034,25000,35034,0.286407,0.980835,0.999701,0.990178,0.999878,0.99432,0.995931,0.993091,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,random_forest,target_frozen_test,native,xss,42,10007,25000,35007,0.285857,0.980779,0.9994,0.990002,0.999756,0.99423,0.99578,0.992973,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,scratch_logreg,target_frozen_test,native,backdoor,42,9911,25000,34911,0.283893,0.943524,0.999596,0.970751,0.999457,0.982899,0.987938,0.979334,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,scratch_logreg,target_frozen_test,native,ddos,42,9942,25000,34942,0.284529,0.932452,0.823376,0.874526,0.978376,0.932774,0.899828,0.914307,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,scratch_logreg,target_frozen_test,native,dos,42,9893,25000,34893,0.283524,0.937189,0.89437,0.915279,0.972769,0.953056,0.935325,0.941406,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,scratch_logreg,target_frozen_test,native,injection,42,10094,25000,35094,0.287628,0.942887,0.969883,0.956195,0.989726,0.97444,0.973082,0.969075,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,scratch_logreg,target_frozen_test,native,mitm,42,518,25000,25518,0.020299,0.221785,0.326255,0.264062,0.904072,0.963085,0.651267,0.622565,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,scratch_logreg,target_frozen_test,native,password,42,10159,25000,35159,0.288945,0.944109,0.986022,0.964611,0.994478,0.979095,0.981151,0.974888,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,scratch_logreg,target_frozen_test,native,ransomware,42,9963,25000,34963,0.284958,0.943199,0.988357,0.96525,0.991631,0.979721,0.982318,0.975467,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,scratch_logreg,target_frozen_test,native,scanning,42,10034,25000,35034,0.286407,0.942689,0.972095,0.957166,0.994295,0.975081,0.974187,0.969798,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,scratch_logreg,target_frozen_test,native,xss,42,10007,25000,35007,0.285857,0.937638,0.890976,0.913712,0.99069,0.951895,0.933628,0.940182,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,scratch_mlp,target_frozen_test,native,backdoor,42,9911,25000,34911,0.283893,0.845937,0.99889,0.916073,0.995875,0.948039,0.963385,0.939222,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,scratch_mlp,target_frozen_test,native,ddos,42,9942,25000,34942,0.284529,0.825814,0.859787,0.842458,0.965879,0.908506,0.893833,0.888995,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,scratch_mlp,target_frozen_test,native,dos,42,9893,25000,34893,0.283524,0.831085,0.896695,0.862644,0.968528,0.919038,0.912287,0.902624,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
